Abnormality_ID,MaintenanceProblemCode,Problem Description,Employee_Name,SafetyIssue,MachineDownNew,Date_Created,DateClosed,Action Owner,MachineHoursLost,TotalHoursToClose,Maint Tech Notes/Abnormality Action Item Notes
45557,Alarm Machine Down,Telescopic cover opened,64db4c8a67,No,No,2016-03-04 09:08:15,2016-03-04 10:20:41,cba0ba69c9,0,1.2,done
46292,Door Issue,Door interlock key broken.,f5eec0c0aa,Yes,Yes,2016-05-04 22:55:03,2016-05-13 23:26:54,49b43321e6,140.1,216.5,"S no 237566
E500
found the door interlock key is bend replaced 
new key ok
H/O"
46986,Alarms Machine not Down,"Tool change at the time ATC ALARAM,(292 No Tool Unload tool in magazine)",2f42bc8acf,No,No,2016-06-13 12:26:37,2016-06-13 14:29:31,3de2e22f41,0,2.1,found the tool detect sensor dirty sensor cleaned and tested found okey machine handed over to production (monitoring)
47229,Alarm Machine Down,"Appeared 209 Slidway lube malfunction alarm, need to open the machine cover for refill the grease",200c10adb1,No,Yes,2016-06-24 10:38:29,2016-06-24 12:58:15,967727c350,2.3,2.3,"Grease top up and reset.

!2:15-12:45P.M"
47914,Door Issue,"Machine Door interlock Key locking & unlocking not functioning

Requested by 
Prasanna",3ece55ca19,Yes,No,2016-08-01 09:03:51,2016-08-03 12:05:42,967727c350,0,51,"0Interlock key and head replaced and checked O.k.

Worked with Aibin"
48690,Coolant issues,"COOLANT COME OUT FROM HIGH PRESSURE COOLANT TANK, NEED TO CHECK AND CHANGE.",3e06d28e1c,Yes,Yes,2016-09-20 10:07:34,2016-09-22 09:45:42,3e7a0d0bbb,32.3,47.6,"suck cramoil then top up water test ok, then handover to production."
48878,Door Issue,MAIN DOOR INTER LOCK NOT WORKING .,f5eec0c0aa,Yes,Yes,2016-09-30 05:59:42,2016-09-30 10:55:03,3de2e22f41,3.4,4.9,duplicate ticket closed by sampath kumar
48879,Door Issue,D,3e06d28e1c,Yes,Yes,2016-09-30 07:55:31,2016-09-30 10:51:47,3de2e22f41,2.9,2.9,"Door inter lock switch key broken key replaced with new one tested okey machine handed over to production
door inter lock switch part no; R49ZZ000430   (1 no)"
48916,Machine leaks,"When machine running time air hose bust inside the Monitor pannel board, caused appeared Air pressure down alarm and machine stopped suddenly.
",200c10adb1,Yes,Yes,2016-10-04 14:29:05,2016-10-04 16:16:20,3e7a0d0bbb,1.8,1.8,FOUND AIR HOSE FITTING TEAR THEN TEST OK HANDOVER TO PRODUCTION.
51924,Coolant issues,COOLANT LEAK  FOUND AT  COOLANT TANK SIDE.,f5eec0c0aa,Yes,Yes,2017-01-13 10:12:53,2017-01-13 16:00:00,49b43321e6,5.8,5.8,"found leak from below tailstock, due  to many chips block the coolant  below the telescopic cover clear the chip test 
no leak 
H/O 
"
55181,Coolant issues,"FLOOT COOLANT NOSIEL MISSING,NEED TO REPLACE.
NAME-C.KALIYAMOORTHY
MACHINE-GC035300",2f42bc8acf,No,Yes,2017-04-19 13:23:24,2017-04-19 14:26:44,49b43321e6,1.1,1.1,"Replaced the Fllod coolant nozzle test ok 
H/O
done by 
Jaya/Liang"
56892,Door Issue,"DOOR INTERLOCK SAFETY KEY ISSUE.  WETHER TOTAL ASSEMBLY COME OUT OR BROKEN.
",3ece55ca19,Yes,Yes,2017-06-28 10:04:52,2017-06-29 11:51:20,3de2e22f41,19.4,25.8,"inter lock key holder plate broken
plate replaced with new one and tested okey machine handed over to production
attended by sampath kumar"
58221,Alarm Machine Down,"In running job when recall the sequnce appeared below alarm, its may be due to Virus or other issue dont know, please come and check.
""M740 EIA PRO MFC........has stopped working"" In between have some other language words.",22d96724ac,No,Yes,2017-08-17 10:08:37,2017-08-21 10:41:15,49b43321e6,63.2,96.6,"Reset the alarm OFF and ON  main power ok. Monitoring
H/O"
58222,Problem Not Listed,program page empty on disply screen,25be1ed09a,Yes,Yes,2017-08-17 10:40:09,2017-08-17 12:53:09,49b43321e6,2.2,2.2,"repeted ticket closed by sampath kumar
refer previous ticket no 58221"
58675,Door Issue,"GC035300-1   E-500-01 
DOOR INTERLOCK KEY PROBLEM ....",7a438f3595,Yes,Yes,2017-09-06 06:17:25,2017-09-06 10:48:24,8fbfb9c567,3.3,4.5,"Left side door interlock pin and connector damaged so replaced new set then monitoring ok,H/O production BY V.Ravi"
59189,Steady rest issues,steady rest cable  cover (box) open,7a438f3595,Yes,Yes,2017-09-26 16:24:37,2017-09-27 12:47:50,c2c16692c4,16.9,20.4,"Replaced the new work rest cable bearer replaced with new one tested okey machine handed over to production
attended by sampath /parthiban/hai liang"
59449,Tool changer issues,tool change 291 no tool unload mah,7a438f3595,No,Yes,2017-10-07 03:01:31,2017-10-09 09:47:01,967727c350,32.3,54.8,"magazine alarm reset tested okey machine handed over to production
attended by sampath/kotian"
59911,Door Issue,Panel board can't move heavy tight already two three time repair ready again panel board heavy tight.so need repair permantly..,239582eeae,No,Yes,2017-10-26 08:40:56,2017-10-27 10:10:13,3de2e22f41,17.7,25.5,"contorl pannel linier bearing guide ways alaigenment work carried out tested okey machine handed over to production 
attended by sampath /kotian
Found normal closed on 27102017"
60023,Digital Readout Problem,Feed rate does not seem in rapid mode.,73c3a12a64,Yes,Yes,2017-10-31 13:12:20,2017-11-15 10:11:11,49b43321e6,227.5,357,program issue done by PTL.
60504,Alarms Machine not Down,Alarm : 291 no tool unload ( tool in magazine).,e75a01c43e,No,Yes,2017-11-28 06:03:01,2017-11-29 08:11:48,eb22595030,15.7,26.1,"Machine in busy 
under monitoring.
Need shedule for fix the issue.
Attended By
Parthiban/Ai BIn
"
60584,Alarm Machine Down,"RUNNING TIME  ""M740 EIA PRO MFC HAS STOPPED WORKING"" ALM APPEAR.",a96fb8ce35,Yes,Yes,2017-12-01 09:06:50,2017-12-04 13:22:06,8fbfb9c567,50.9,76.3,"Switch off M/c then reset alarm clear  m/c  h/o  production but Under monitoring 

 now no issue so close ticket by Ravi"
